ordering,theta,r_star,resolved,r_value_for_plot
forward,0.0,1,True,1
reverse,0.0,1,True,1
random_1,0.0,62,True,62
random_2,0.0,65,True,65
random_3,0.0,87,True,87
forward,0.15707963267948966,63,True,63
reverse,0.15707963267948966,63,True,63
random_1,0.15707963267948966,63,True,63
random_2,0.15707963267948966,66,True,66
random_3,0.15707963267948966,87,True,87
forward,0.3141592653589793,121,True,121
reverse,0.3141592653589793,121,True,121
random_1,0.3141592653589793,68,True,68
random_2,0.3141592653589793,68,True,68
random_3,0.3141592653589793,87,True,87
forward,0.47123889803846897,171,True,171
reverse,0.47123889803846897,171,True,171
random_1,0.47123889803846897,74,True,74
random_2,0.47123889803846897,71,True,71
random_3,0.47123889803846897,87,True,87
forward,0.6283185307179586,210,True,210
reverse,0.6283185307179586,210,True,210
random_1,0.6283185307179586,79,True,79
random_2,0.6283185307179586,74,True,74
random_3,0.6283185307179586,86,True,86
forward,0.7853981633974483,236,True,236
reverse,0.7853981633974483,236,True,236
random_1,0.7853981633974483,84,True,84
random_2,0.7853981633974483,75,True,75
random_3,0.7853981633974483,85,True,85
forward,0.9424777960769379,250,True,250
reverse,0.9424777960769379,250,True,250
random_1,0.9424777960769379,86,True,86
random_2,0.9424777960769379,76,True,76
random_3,0.9424777960769379,82,True,82
forward,1.0995574287564276,253,True,253
reverse,1.0995574287564276,253,True,253
random_1,1.0995574287564276,87,True,87
random_2,1.0995574287564276,75,True,75
random_3,1.0995574287564276,79,True,79
forward,1.2566370614359172,249,True,249
reverse,1.2566370614359172,249,True,249
random_1,1.2566370614359172,87,True,87
random_2,1.2566370614359172,73,True,73
random_3,1.2566370614359172,76,True,76
forward,1.413716694115407,243,True,243
reverse,1.413716694115407,243,True,243
random_1,1.413716694115407,86,True,86
random_2,1.413716694115407,71,True,71
random_3,1.413716694115407,74,True,74
forward,1.5707963267948966,241,True,241
reverse,1.5707963267948966,241,True,241
random_1,1.5707963267948966,85,True,85
random_2,1.5707963267948966,71,True,71
random_3,1.5707963267948966,73,True,73
forward,1.7278759594743862,243,True,243
reverse,1.7278759594743862,243,True,243
random_1,1.7278759594743862,86,True,86
random_2,1.7278759594743862,71,True,71
random_3,1.7278759594743862,74,True,74
forward,1.8849555921538759,249,True,249
reverse,1.8849555921538759,249,True,249
random_1,1.8849555921538759,87,True,87
random_2,1.8849555921538759,73,True,73
random_3,1.8849555921538759,76,True,76
forward,2.0420352248333655,253,True,253
reverse,2.0420352248333655,253,True,253
random_1,2.0420352248333655,87,True,87
random_2,2.0420352248333655,75,True,75
random_3,2.0420352248333655,79,True,79
forward,2.199114857512855,250,True,250
reverse,2.199114857512855,250,True,250
random_1,2.199114857512855,86,True,86
random_2,2.199114857512855,76,True,76
random_3,2.199114857512855,82,True,82
forward,2.356194490192345,236,True,236
reverse,2.356194490192345,236,True,236
random_1,2.356194490192345,84,True,84
random_2,2.356194490192345,75,True,75
random_3,2.356194490192345,85,True,85
forward,2.5132741228718345,210,True,210
reverse,2.5132741228718345,210,True,210
random_1,2.5132741228718345,79,True,79
random_2,2.5132741228718345,74,True,74
random_3,2.5132741228718345,86,True,86
forward,2.670353755551324,171,True,171
reverse,2.670353755551324,171,True,171
random_1,2.670353755551324,74,True,74
random_2,2.670353755551324,71,True,71
random_3,2.670353755551324,87,True,87
forward,2.827433388230814,121,True,121
reverse,2.827433388230814,121,True,121
random_1,2.827433388230814,68,True,68
random_2,2.827433388230814,68,True,68
random_3,2.827433388230814,87,True,87
forward,2.9845130209103035,63,True,63
reverse,2.9845130209103035,63,True,63
random_1,2.9845130209103035,63,True,63
random_2,2.9845130209103035,66,True,66
random_3,2.9845130209103035,87,True,87
forward,3.141592653589793,1,True,1
reverse,3.141592653589793,1,True,1
random_1,3.141592653589793,62,True,62
random_2,3.141592653589793,65,True,65
random_3,3.141592653589793,87,True,87
