family,family_kind,instance_id,num_states,num_resolved,num_unresolved,resolution_rate,min_Delta,max_Delta,n_terms,num_identity_terms,num_nonidentity_terms,num_single_site_terms,num_two_site_terms,distinct_qubit_pairs,noncommuting_pairs,coeff_rms,coeff_l1,coeff_l2,worst_case_rule_r,worst_case_rule_status,low_energy_rule_status,mean_r_star_resolved,median_r_star_resolved,min_r_star_resolved,max_r_star_resolved,mean_r_star_lower_bound,mean_t_count_estimate_total,median_t_count_estimate_total,mean_cnot_count_total,median_cnot_count_total,mean_single_qubit_clifford_count_total,median_single_qubit_clifford_count_total,mean_rotation_gate_count_total,median_rotation_gate_count_total,mean_sequential_layer_proxy_total,median_sequential_layer_proxy_total
random two-local,random_baseline,random_1,21,21,0,1.0,1.279369846292461,2.0419014215336366,45,0,45,0,45,14,380,0.821962489621633,28.671388021935623,5.51389200524681,153108,proxy_not_certified_for_fidelity,missing_theorem_formula_or_constants,134.42857142857142,136.0,124.0,140.0,134.42857142857142,610365.0476190476,618800.0,12098.57142857143,12240.0,24466.0,24752.0,6049.285714285715,6120.0,42613.857142857145,43112.0
random two-local,random_baseline,random_2,21,21,0,1.0,-3.0418578209665053,1.0855458549088148,45,0,45,0,45,15,366,0.8219624896216331,30.346324973413065,5.513892005246811,163204,proxy_not_certified_for_fidelity,missing_theorem_formula_or_constants,113.76190476190476,115.0,108.0,121.0,113.76190476190476,515489.90476190473,521410.0,10238.57142857143,10350.0,23434.95238095238,23690.0,5119.285714285715,5175.0,38792.80952380953,39215.0
random two-local,random_baseline,random_3,21,21,0,1.0,-1.2956656911695983,-1.0348729338968616,45,0,45,0,45,14,363,0.821962489621633,29.386638565165832,5.51389200524681,157211,proxy_not_certified_for_fidelity,missing_theorem_formula_or_constants,131.57142857142858,130.0,119.0,146.0,131.57142857142858,596691.1428571428,592540.0,11841.42857142857,11700.0,25524.85714285714,25220.0,5920.714285714285,5850.0,43287.0,42770.0
random two-local,random_baseline,random_4,21,21,0,1.0,-1.1479872910935458,1.0266323678535043,45,0,45,0,45,14,395,0.821962489621633,30.328325757624906,5.51389200524681,178070,proxy_not_certified_for_fidelity,missing_theorem_formula_or_constants,148.28571428571428,148.0,135.0,159.0,148.28571428571428,673133.1428571428,671920.0,13345.714285714286,13320.0,26098.285714285714,26048.0,6672.857142857143,6660.0,46116.857142857145,46028.0
random two-local,random_baseline,random_5,21,21,0,1.0,-0.5867938519816763,2.549761124105767,45,0,45,0,45,15,376,0.8219624896216331,29.740721156894036,5.51389200524681,152128,proxy_not_certified_for_fidelity,missing_theorem_formula_or_constants,128.38095238095238,129.0,119.0,132.0,128.38095238095238,582010.8571428572,584112.0,11554.285714285714,11610.0,21311.238095238095,21414.0,5777.142857142857,5805.0,38642.666666666664,38829.0
random two-local,random_baseline,random_6,21,21,0,1.0,-4.448290431208956,0.526449993641882,45,0,45,0,45,15,397,0.8219624896216332,29.37269184563125,5.513892005246811,165986,proxy_not_certified_for_fidelity,missing_theorem_formula_or_constants,120.9047619047619,117.0,110.0,135.0,120.9047619047619,548357.7142857143,532350.0,10881.42857142857,10530.0,22730.095238095237,21996.0,5440.714285714285,5265.0,39052.23809523809,37791.0
random two-local,random_baseline,random_7,21,21,0,1.0,1.6232469772130937,4.595811115756817,45,0,45,0,45,15,371,0.821962489621633,29.6091398868494,5.51389200524681,152689,proxy_not_certified_for_fidelity,missing_theorem_formula_or_constants,148.66666666666666,147.0,142.0,159.0,148.66666666666666,674773.1428571428,667674.0,13380.0,13230.0,27949.333333333332,27636.0,6690.0,6615.0,48019.333333333336,47481.0
random two-local,random_baseline,random_8,21,21,0,1.0,-5.044356628488483,3.555001241272105,45,0,45,0,45,15,385,0.8219624896216331,30.348502764871817,5.51389200524681,171944,proxy_not_certified_for_fidelity,missing_theorem_formula_or_constants,143.0,148.0,120.0,160.0,143.0,648799.4285714285,676064.0,12870.0,13320.0,21450.0,22200.0,6435.0,6660.0,40755.0,42180.0
random two-local,random_baseline,random_9,21,21,0,1.0,-1.1509165729992596,0.8911250035734969,45,0,45,0,45,15,394,0.8219624896216329,27.54268690677529,5.51389200524681,149846,proxy_not_certified_for_fidelity,missing_theorem_formula_or_constants,136.8095238095238,138.0,119.0,154.0,136.8095238095238,620778.8571428572,627348.0,12312.857142857143,12420.0,22984.0,23184.0,6156.428571428572,6210.0,41453.28571428572,41814.0
random two-local,random_baseline,random_10,21,21,0,1.0,-2.7253757948824746,1.2539739221200903,45,0,45,0,45,14,392,0.8219624896216329,29.21794713255468,5.5138920052468094,162173,proxy_not_certified_for_fidelity,missing_theorem_formula_or_constants,125.66666666666667,125.0,118.0,132.0,125.66666666666667,570809.5238095238,567500.0,11310.0,11250.0,25384.666666666668,25250.0,5655.0,5625.0,42349.666666666664,42125.0
random two-local,random_baseline,random_11,21,21,0,1.0,0.5358402202216145,0.9099731436435129,45,0,45,0,45,15,385,0.821962489621633,29.538579814149074,5.51389200524681,156070,proxy_not_certified_for_fidelity,missing_theorem_formula_or_constants,133.85714285714286,133.0,122.0,146.0,133.85714285714286,608444.1904761905,606214.0,12047.142857142857,11970.0,26236.0,26068.0,6023.571428571428,5985.0,44306.71428571428,44023.0
random two-local,random_baseline,random_12,21,21,0,1.0,-2.4837475254343047,1.8605099911473133,45,0,45,0,45,15,390,0.821962489621633,31.75144884187329,5.51389200524681,196819,proxy_not_certified_for_fidelity,missing_theorem_formula_or_constants,146.14285714285714,147.0,132.0,156.0,146.14285714285714,663190.0,668262.0,13152.857142857143,13230.0,27182.571428571428,27342.0,6576.428571428572,6615.0,46911.857142857145,47187.0
random two-local,random_baseline,random_13,21,21,0,1.0,-2.5806343332316164,-0.8169599895416757,45,0,45,0,45,13,386,0.821962489621633,30.493800196171062,5.51389200524681,178720,proxy_not_certified_for_fidelity,missing_theorem_formula_or_constants,126.9047619047619,125.0,119.0,137.0,126.9047619047619,576408.1904761905,570000.0,11421.42857142857,11250.0,23858.095238095237,23500.0,5710.714285714285,5625.0,40990.23809523809,40375.0
random two-local,random_baseline,random_14,21,21,0,1.0,-3.027560926291709,2.2506359436821843,45,0,45,0,45,15,381,0.8219624896216331,28.123342450318447,5.51389200524681,148952,proxy_not_certified_for_fidelity,missing_theorem_formula_or_constants,140.71428571428572,139.0,127.0,157.0,140.71428571428572,638400.5714285715,628836.0,12664.285714285714,12510.0,25610.0,25298.0,6332.142857142857,6255.0,44606.42857142857,44063.0
random two-local,random_baseline,random_15,21,21,0,1.0,-3.152835490864542,2.9076810777941624,45,0,45,0,45,15,377,0.821962489621633,29.982810780716957,5.51389200524681,154100,proxy_not_certified_for_fidelity,missing_theorem_formula_or_constants,114.47619047619048,117.0,106.0,120.0,114.47619047619048,518859.2380952381,530010.0,10302.857142857143,10530.0,20376.761904761905,20826.0,5151.428571428572,5265.0,35831.04761904762,36621.0
